YEAR	CROPCODE	CROP_DESC	TOELICHTING	MON_LC	MON_LC_DESC	MON_CG	MON_CG_DESC	MON_OC	MON_OC_DESC	MON_VRU	MON_VRU_DESC	MON_RUG	MON_RUG_DESC	MON_MIDDENDETA	MON_MIDDENDETA_DESC	MON_OCNT	MON_OCNT_DESC	MON_VROEG_LAAT	MON_VROEG_LAAT_DESC	IS_VROEG	IS_LAAT	IS_PERM_TEELT	IS_PERM_BEDEKKING	IS_BOUWLAND	IS_SUBSIDIABEL	IS_NIETSUBSIDIABEL
2025	9576	Snijbloemen - rozen	SIERPLANTEN	MON_LC_BOOMSIER	MARKER_LANDCOVER boomsier	MON_CG_BOOMSIER	Marker cropgroup boomsier	MON_OC_0	Monitoring organische koolstof aanvoer - 0	MON_VRU_BOOMSIER	Monitoring vruchtafwisseling - boomsier	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_0	Monitoring organische koolstof aanvoer nateelt - 0	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	1	0
2025	9577	Snijbloemen andere dan rozen < 5 jaar	SIERPLANTEN	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_ANDERE_SUBSIDIABELE_GEWASSEN_SIERTEELT	Marker cropgroup andere_subsidiabele_gewassen_sierteelt	MON_OC_300	Monitoring organische koolstof aanvoer - 300	MON_VRU_ANDERE_SUBSIDIABEL	Monitoring vruchtafwisseling - andere subsidiabel	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_300	Monitoring organische koolstof aanvoer nateelt - 300	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9578	Perk- en balkonplanten	SIERPLANTEN	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_ANDERE_SUBSIDIABELE_GEWASSEN_SIERTEELT	Marker cropgroup andere_subsidiabele_gewassen_sierteelt	MON_OC_300	Monitoring organische koolstof aanvoer - 300	MON_VRU_ANDERE_SUBSIDIABEL	Monitoring vruchtafwisseling - andere subsidiabel	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_300	Monitoring organische koolstof aanvoer nateelt - 300	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9580	Vaste planten	SIERPLANTEN	MON_LC_BOOMSIER	MARKER_LANDCOVER boomsier	MON_CG_BOOMSIER	Marker cropgroup boomsier	MON_OC_0	Monitoring organische koolstof aanvoer - 0	MON_VRU_BOOMSIER	Monitoring vruchtafwisseling - boomsier	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_0	Monitoring organische koolstof aanvoer nateelt - 0	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	1	0
2025	9581	Laanbomen	SIERPLANTEN	MON_LC_BOOMSIER	MARKER_LANDCOVER boomsier	MON_CG_BOOMSIER	Marker cropgroup boomsier	MON_OC_0	Monitoring organische koolstof aanvoer - 0	MON_VRU_BOOMSIER	Monitoring vruchtafwisseling - boomsier	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_0	Monitoring organische koolstof aanvoer nateelt - 0	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	1	0
2025	9582	Rozelaars	SIERPLANTEN	MON_LC_BOOMSIER	MARKER_LANDCOVER boomsier	MON_CG_BOOMSIER	Marker cropgroup boomsier	MON_OC_0	Monitoring organische koolstof aanvoer - 0	MON_VRU_BOOMSIER	Monitoring vruchtafwisseling - boomsier	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_0	Monitoring organische koolstof aanvoer nateelt - 0	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	1	0
2025	9583	Bloeiende heesters	SIERPLANTEN	MON_LC_BOOMSIER	MARKER_LANDCOVER boomsier	MON_CG_BOOMSIER	Marker cropgroup boomsier	MON_OC_0	Monitoring organische koolstof aanvoer - 0	MON_VRU_BOOMSIER	Monitoring vruchtafwisseling - boomsier	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_0	Monitoring organische koolstof aanvoer nateelt - 0	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	1	0
2025	9585	Snijplanten >= 5 jaar	SIERPLANTEN	MON_LC_BOOMSIER	MARKER_LANDCOVER boomsier	MON_CG_BOOMSIER	Marker cropgroup boomsier	MON_OC_300	Monitoring organische koolstof aanvoer - 300	MON_VRU_BOOMSIER	Monitoring vruchtafwisseling - boomsier	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_300	Monitoring organische koolstof aanvoer nateelt - 300	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	1	0
2025	9586	Artisjok - vers	GROENTEN_VERS	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_ARTISJOKKEN	Marker cropgroup artisjokken	MON_OC_370	Monitoring organische koolstof aanvoer - 370	MON_VRU_SAMENGESTELDBLOEMIGEN	Monitoring vruchtafwisseling - samengesteld bloemigen	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_370	Monitoring organische koolstof aanvoer nateelt - 370	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9587	Snijbloemen andere dan rozen >= 5 jaar	SIERPLANTEN	MON_LC_BOOMSIER	MARKER_LANDCOVER boomsier	MON_CG_BOOMSIER	Marker cropgroup boomsier	MON_OC_0	Monitoring organische koolstof aanvoer - 0	MON_VRU_BOOMSIER	Monitoring vruchtafwisseling - boomsier	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_0	Monitoring organische koolstof aanvoer nateelt - 0	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	1	0
