YEAR	CROPCODE	CROP_DESC	GEWASHOOFDGROEPENGELS	DIV_CROPGROUP	DIV_CROPGROUP_DESC	MON_CROPGROUP_ORIG	MON_CROPGROUP	MON_CROPGROUP_DESC	MON_LC_GROUP_NL	MON_LC_GROUP_ORIG	MON_LC_GROUP	MON_LC_GROUP_DESC	LC_MIDDENDETAIL	LC_MIDDENDETAIL_DESC	MON_EARLY_LATE	IS_VROEG	IS_PERM_TEELT	IS_PERM_BEDEKKING	IS_BOUWLAND	IS_SUBSIDIABEL	IS_NIETSUBSIDIABEL	IGNORE_ERASE_LAYER
2023	749	Mengsel met 1 of meerdere vlinderbloemigen	MON_LC_FABACEAE	DIV_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: gewasdiversificatie	MON_VLINDERBLOEMIGEN	MON_VLINDERBLOEMIGEN	Vlinderbloemigen	MON_TYPE_VLINDERBLOEMIGEN	MON_LC_FABACEAE	MON_LC_FABACEAE	vlinderbloemigen	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_VROEGE	1	0	1	1	1	0	0
2023	831	Erwten (andere dan droog geoogst) - industrie	MON_LC_FABACEAE	DIV_ERWTEN	Erwten	MON_ERWTEN	MON_ERWTEN	Erwten	MON_TYPE_VLINDERBLOEMIGEN	MON_LC_FABACEAE	MON_LC_FABACEAE	vlinderbloemigen	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0	0
2023	832	Tuin- en veldbonen (Vicia faba) - industrie	MON_LC_FABACEAE	DIV_WIKKEN	Wikken	MON_WIKKEN	MON_WIKKEN	Wikken	MON_TYPE_VLINDERBLOEMIGEN	MON_LC_FABACEAE	MON_LC_FABACEAE	vlinderbloemigen	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0	0
2023	856	Andere kruiden -  industrie	MON_LC_ARABLE	DIV_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: gewasdiversificatie	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	MON_LC_ARABLE	MON_LC_ARABLE	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_LATE	0	0	0	1	1	0	0
2023	858	Andere meerjarige kruiden - industrie	MON_LC_ARABLE			MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	MON_LC_ARABLE	MON_LC_ARABLE	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_LATE	0	1	1	0	1	0	0
2023	859	Peterselie - industrie	MON_LC_ARABLE	DIV_PETERSELIE	Peterselie	MON_PETERSELIE	MON_PETERSELIE	Peterselie	MON_TYPE_BOUWLAND	MON_LC_ARABLE	MON_LC_ARABLE	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0	0
2023	860	Kervel - industrie	MON_LC_ARABLE	DIV_KERVEL	Kervel	MON_KERVEL	MON_KERVEL	Kervel	MON_TYPE_BOUWLAND	MON_LC_ARABLE	MON_LC_ARABLE	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0	0
2023	863	Wortelpeterselie - industrie	MON_LC_ARABLE	DIV_PETERSELIE	Peterselie	MON_PETERSELIE	MON_PETERSELIE	Peterselie	MON_TYPE_BOUWLAND	MON_LC_ARABLE	MON_LC_ARABLE	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_LATE	0	0	0	1	1	0	0
2023	864	Basilicum - industrie	MON_LC_ARABLE	DIV_BASILICUM	Basilicum	MON_BASILICUM	MON_BASILICUM	Basilicum	MON_TYPE_BOUWLAND	MON_LC_ARABLE	MON_LC_ARABLE	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0	0
2023	865	Bieslook - industrie	MON_LC_ARABLE	DIV_LOOKACHTIGEN	Lookachtigen	MON_LOOKACHTIGEN	MON_LOOKACHTIGEN	Lookachtigen	MON_TYPE_BOUWLAND	MON_LC_ARABLE	MON_LC_ARABLE	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	0	1	0	0
